iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
177,0.07536411,305.25922,153.3649,100,0.1,55.0,3,17800,13934,2.346
178,0.07536411,305.25922,153.3649,100,0.1,55.0,3,17900,13934,2.346
179,0.07536411,305.25922,153.3649,100,0.1,55.0,3,18000,13934,2.346
180,0.07536411,305.25922,153.3649,100,0.1,55.0,3,18100,13934,2.346
181,0.07536411,305.25922,153.3649,100,0.1,55.0,3,18200,13934,2.346
182,0.07536411,305.25922,153.3649,100,0.1,55.0,3,18300,13934,2.346
183,0.07536411,305.25922,153.3649,100,0.1,55.0,3,18400,13934,2.346
184,0.07536411,305.25922,153.3649,100,0.1,55.0,3,18500,13934,2.346
185,0.07536411,305.25922,153.3649,100,0.1,55.0,3,18600,13934,2.346
186,0.07536411,305.25922,153.3649,100,0.1,55.0,3,18700,13934,2.346
187,0.07536411,305.25922,153.3649,100,0.1,55.0,3,18800,13934,2.346
188,0.07536411,305.25922,153.3649,100,0.1,55.0,3,18900,13934,2.346
189,0.07536411,305.25922,153.3649,100,0.1,55.0,3,19000,13934,2.346
190,0.07536411,305.25922,153.3649,100,0.1,55.0,3,19100,13934,2.346
191,0.07536411,305.25922,153.3649,100,0.1,55.0,3,19200,13934,2.346
192,0.07536411,305.25922,153.3649,100,0.1,55.0,3,19300,13934,2.346
193,0.07536411,305.25922,153.3649,100,0.1,55.0,3,19400,13934,2.346
194,0.07536411,305.25922,153.3649,100,0.1,55.0,3,19500,13934,2.346
195,0.07536411,305.25922,153.3649,100,0.1,55.0,3,19600,13934,2.346
196,0.07536411,305.25922,153.3649,100,0.1,55.0,3,19700,13934,2.346
197,0.07536411,305.25922,153.3649,100,0.1,55.0,3,19800,13934,2.346
198,0.07536411,305.25922,153.3649,100,0.1,55.0,3,19900,13934,2.346
199,0.07536411,305.25922,153.3649,100,0.1,55.0,3,20000,13934,2.346
200,0.07536411,305.25922,153.3649,100,0.1,55.0,3,20100,13934,2.346
201,0.07536411,305.25922,153.3649,100,0.1,55.0,3,20200,13934,2.346
202,0.07536411,305.25922,153.3649,100,0.1,55.0,3,20300,13934,2.346
203,0.07536411,305.25922,153.3649,100,0.1,55.0,3,20400,13934,2.346
204,0.07536411,305.25922,153.3649,100,0.1,55.0,3,20500,13934,2.346
205,0.07536411,305.25922,153.3649,100,0.1,55.0,3,20600,13934,2.346
206,0.07536411,305.25922,153.3649,100,0.1,55.0,3,20700,13934,2.346
207,0.07536411,305.25922,153.3649,100,0.1,55.0,3,20800,13934,2.346
208,0.07536411,305.25922,153.3649,100,0.1,55.0,3,20900,13934,2.346
209,0.07536411,305.25922,153.3649,100,0.1,55.0,3,21000,13934,2.346
210,0.07536411,305.25922,153.3649,100,0.1,55.0,3,21100,13934,2.346
211,0.07536411,305.25922,153.3649,100,0.1,55.0,3,21200,13934,2.346
212,0.07536411,305.25922,153.3649,100,0.1,55.0,3,21300,13934,2.346
213,0.07536411,305.25922,153.3649,100,0.1,55.0,3,21400,13934,2.346
214,0.07536411,305.25922,153.3649,100,0.1,55.0,3,21500,13934,2.346
215,0.07536411,305.25922,153.3649,100,0.1,55.0,3,21600,13934,2.346
216,0.07536411,305.25922,153.3649,100,0.1,55.0,3,21700,13934,2.346
217,0.07536411,305.25922,153.3649,100,0.1,55.0,3,21800,13934,2.346
218,0.07536411,305.25922,153.3649,100,0.1,55.0,3,21900,13934,2.346
219,0.07536411,305.25922,153.3649,100,0.1,55.0,3,22000,13934,2.346
220,0.07536411,305.25922,153.3649,100,0.1,55.0,3,22100,13934,2.346
221,0.07536411,305.25922,153.3649,100,0.1,55.0,3,22200,13934,2.346
222,0.07536411,305.25922,153.3649,100,0.1,55.0,3,22300,13934,2.346
223,0.07536411,305.25922,153.3649,100,0.1,55.0,3,22400,13934,2.346
224,0.07536411,305.25922,153.3649,100,0.1,55.0,3,22500,13934,2.346
225,0.07536411,305.25922,153.3649,100,0.1,55.0,3,22600,13934,2.346
226,0.07536411,305.25922,153.3649,100,0.1,55.0,3,22700,13934,2.346
227,0.07536411,305.25922,153.3649,100,0.1,55.0,3,22800,13934,2.346
228,0.07536411,305.25922,153.3649,100,0.1,55.0,3,22900,13934,2.346
229,0.07536411,305.25922,153.3649,100,0.1,55.0,3,23000,13934,2.346
230,0.07536411,305.25922,153.3649,100,0.1,55.0,3,23100,13934,2.346
231,0.07536411,305.25922,153.3649,100,0.1,55.0,3,23200,13934,2.346
232,0.07536411,305.25922,153.3649,100,0.1,55.0,3,23300,13934,2.346
233,0.07536411,305.25922,153.3649,100,0.1,55.0,3,23400,13934,2.346
234,0.07536411,305.25922,153.3649,100,0.1,55.0,3,23500,13934,2.346
235,0.07536411,305.25922,153.3649,100,0.1,55.0,3,23600,13934,2.346
236,0.07536411,305.25922,153.3649,100,0.1,55.0,3,23700,13934,2.346
237,0.07536411,305.25922,153.3649,100,0.1,55.0,3,23800,13934,2.346
238,0.07536411,305.25922,153.3649,100,0.1,55.0,3,23900,13934,2.346
239,0.07536411,305.25922,153.3649,100,0.1,55.0,3,24000,13934,2.346
240,0.07536411,305.25922,153.3649,100,0.1,55.0,3,24100,13934,2.346
241,0.07536411,305.25922,153.3649,100,0.1,55.0,3,24200,13934,2.346
242,0.07536411,305.25922,153.3649,100,0.1,55.0,3,24300,13934,2.346
243,0.07536411,305.25922,153.3649,100,0.1,55.0,3,24400,13934,2.346
244,0.07536411,305.25922,153.3649,100,0.1,55.0,3,24500,13934,2.346
245,0.07536411,305.25922,153.3649,100,0.1,55.0,3,24600,13934,2.346
246,0.07536411,305.25922,153.3649,100,0.1,55.0,3,24700,13934,2.346
247,0.07536411,305.25922,153.3649,100,0.1,55.0,3,24800,13934,2.346
248,0.07536411,305.25922,153.3649,100,0.1,55.0,3,24900,13934,2.346
