iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
266,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,26800,24755,5.08
267,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,26900,24755,5.08
268,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,27000,24755,5.08
269,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,27100,24755,5.08
270,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,27200,24755,5.08
271,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,27300,24755,5.08
272,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,27400,24755,5.08
273,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,27500,24755,5.08
274,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,27600,24755,5.08
275,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,27700,24755,5.08
276,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,27800,24755,5.08
277,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,27900,24755,5.08
278,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,28000,24755,5.08
279,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,28100,24755,5.08
280,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,28200,24755,5.08
281,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,28300,24755,5.08
282,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,28400,24755,5.08
283,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,28500,24755,5.08
284,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,28600,24755,5.08
285,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,28700,24755,5.08
286,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,28800,24755,5.08
287,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,28900,24755,5.08
288,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,29000,24755,5.08
289,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,29100,24755,5.08
290,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,29200,24755,5.08
291,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,29300,24755,5.08
292,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,29400,24755,5.08
293,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,29500,24755,5.08
294,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,29600,24755,5.08
295,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,29700,24755,5.08
296,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,29800,24755,5.08
297,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,29900,24755,5.08
