iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
184,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,18500,770,0.12
185,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,18600,770,0.12
186,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,18700,770,0.12
187,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,18800,770,0.12
188,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,18900,770,0.12
189,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,19000,770,0.12
190,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,19100,770,0.12
191,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,19200,770,0.12
192,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,19300,770,0.12
193,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,19400,770,0.12
194,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,19500,770,0.12
195,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,19600,770,0.12
196,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,19700,770,0.12
197,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,19800,770,0.12
198,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,19900,770,0.12
199,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,20000,770,0.12
200,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,20100,770,0.12
201,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,20200,770,0.12
202,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,20300,770,0.12
203,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,20400,770,0.12
204,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,20500,770,0.12
205,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,20600,770,0.12
206,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,20700,770,0.12
207,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,20800,770,0.12
208,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,20900,770,0.12
209,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,21000,770,0.12
210,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,21100,770,0.12
211,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,21200,770,0.12
212,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,21300,770,0.12
213,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,21400,770,0.12
214,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,21500,770,0.12
215,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,21600,770,0.12
216,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,21700,770,0.12
217,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,21800,770,0.12
218,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,21900,770,0.12
219,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,22000,770,0.12
220,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,22100,770,0.12
221,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,22200,770,0.12
222,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,22300,770,0.12
223,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,22400,770,0.12
224,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,22500,770,0.12
225,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,22600,770,0.12
226,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,22700,770,0.12
227,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,22800,770,0.12
228,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,22900,770,0.12
229,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,23000,770,0.12
230,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,23100,770,0.12
231,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,23200,770,0.12
232,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,23300,770,0.12
233,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,23400,770,0.12
234,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,23500,770,0.12
235,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,23600,770,0.12
236,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,23700,770,0.12
237,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,23800,770,0.12
238,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,23900,770,0.12
239,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,24000,770,0.12
240,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,24100,770,0.12
241,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,24200,770,0.12
242,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,24300,770,0.12
243,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,24400,770,0.12
244,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,24500,770,0.12
245,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,24600,770,0.12
246,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,24700,770,0.12
247,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,24800,770,0.12
248,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,24900,770,0.12
249,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,25000,770,0.12
250,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,25100,770,0.12
251,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,25200,770,0.12
252,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,25300,770,0.12
253,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,25400,770,0.12
254,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,25500,770,0.12
255,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,25600,770,0.12
256,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,25700,770,0.12
257,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,25800,770,0.12
258,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,25900,770,0.12
259,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,26000,770,0.12
260,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,26100,770,0.12
261,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,26200,770,0.12
262,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,26300,770,0.12
263,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,26400,770,0.12
264,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,26500,770,0.12
265,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,26600,770,0.12
266,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,26700,770,0.12
267,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,26800,770,0.12
268,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,26900,770,0.12
269,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,27000,770,0.12
270,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,27100,770,0.12
271,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,27200,770,0.12
272,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,27300,770,0.12
273,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,27400,770,0.12
274,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,27500,770,0.12
275,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,27600,770,0.12
276,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,27700,770,0.12
277,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,27800,770,0.12
278,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,27900,770,0.12
279,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,28000,770,0.12
280,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,28100,770,0.12
